daterange_wiki,title_wiki,year_wiki,source_wiki,link_wiki,developer_wiki,publisher_wiki,releasedate_wiki,genre_wiki,engine_wiki,director_wiki,artist_wiki,composer_wiki,platform_wiki,designer_wiki,writer_wiki,programmer_wiki,mode_wiki,summary_wiki,background_wiki
1-8 May 2025,Super Space Club,2025,https://ixbt.games/news/2025/05/01/v-egs-razdayut-lo-fi-suter-super-space-club-nazvany-besplatnye-igry-iz-sleduyushhei-razdaci.html,,,,,,,,,,,,,,,,
4 May 2025,Lego Star Wars: The Skywalker Saga,2025,https://dtf.ru/games/3746266-lego-star-wars-skywalker-saga-besplatno-egs,https://en.wikipedia.org/wiki/Lego_Star_Wars%3A_The_Skywalker_Saga,Traveller's Tales,Warner Bros. Games,5 April 2022,Action-adventure,,James McLoughlin,John Lomax,Simon Withenshaw,,Arthur Parsons,James Pugh,Ben Klages,,"Lego Star Wars: The Skywalker Saga is a 2022 Lego-themed action-adventure game developed by Traveller's Tales and published by Warner Bros. Games. It is the sixth installment in the Lego Star Wars video game series. The game adapts all nine entries in the Skywalker Saga series of films, with additional characters based on other Star Wars films and television series released as downloadable content.","Lego Star Wars: The Skywalker Saga was released on 5 April 2022 for Nintendo Switch, PlayStation 4, PlayStation 5, Windows, Xbox One, and Xbox Series X/S. It received generally favorable reviews from critics, with praise for its graphics, level design and humor; mixed opinions were directed at its side content and combat, while its technical issues and lack of online co-op were criticized. The game sold more than 3.2 million copies within two weeks of its release."
8-15 May 2025,Deadtime Defenders,2025,https://kanobu.ru/news/egs-besplatno-razdayot-deadtime-defenders-i-touch-type-tale-500402/,,,,,,,,,,,,,,,,
15-22 May 2025,Dead Island 2,2025,https://ixbt.games/news/2025/05/15/v-epic-games-store-razdayut-dead-island-2-no-iz-rf-igru-ne-zabrat.html,https://en.wikipedia.org/wiki/Dead_Island_2,Dambuster Studios,Deep Silver,21 April 2023,Action role-playing,Unreal Engine 4,,Adam Olsson,Ryan Williams,,Adam Duckett,Ayesha Khan,,,,
22-29 May 2025,Deliver At All Costs,2025,https://kanobu.ru/news/v-egs-nachalas-razdacha-deliver-at-all-costs-i-sifu-500918/,https://en.wikipedia.org/wiki/Deliver_At_All_Costs,Far Out Games,Konami Digital Entertainment,22 May 2025,Action-adventure,Unity,Daniel Nielsen,Jimmy Hultén,,,,,Jonatan Johansson,Single-player,"Deliver At All Costs is an action-adventure video game developed by Far Out Games and published by Konami Digital Entertainment, featuring completely destructible environments. Announced in September 2024, the game was released for PlayStation 5, Windows and Xbox Series X/S on 22 May 2025. Upon release, it received mixed reviews from critics.",
29 May - 5 June 2025,Limbo,2025,https://cybersport.metaratings.ru/news/v-egs-nachalas-razdacha-tiny-tina-s-wonderlands-i-limbo-akciya-do-5-iyunya-485610/,https://en.wikipedia.org/wiki/Limbo,,,,,,,,,,,,,,,
5-12 June 2025,Deathloop,2025,https://dtf.ru/games/3811480-razdacha-deathloop-v-epic-games-store,https://en.wikipedia.org/wiki/Deathloop,Arkane Lyon,Bethesda Softworks,"PlayStation 5, Windows14 September 2021Xbox Series X/S20 September 2022",First-person shooter,Void Engine,,Sébastien Mitton,Tom Salta,,Gauthier Roussel,,Hugues Tardif,,,
12-19 June 2025,Two Point Hospital,2025,https://ixbt.games/news/2025/06/12/v-egs-razdayut-simulyator-two-point-hospital.html,https://en.wikipedia.org/wiki/Two_Point_Hospital,Two Point Studios,Sega,"Linux, macOS, Windows30 August 2018Switch, PS4, Xbox One25 February 2020Amazon Luna19 November 2020",Business simulation,Unity,,Mark Smart,,,,,Ben Hymers,,,
19-26 June 2025,The Operator,2025,https://dtf.ru/games/3843140-razdacha-the-operator-epic-games-store,https://en.wikipedia.org/wiki/The_Operator,,,,,,,,,,,,,,"The Operator is a 2000 American film, starring Michael Laurence, Stephen Tobolowsky, Brion James, Brad Leland and Jacqueline Kim. It was written and directed by Jon Dichter.",
26 June - 3 July 2025,Sable,2025,https://kanobu.ru/news/egs-razdayot-priklyuchencheskuyu-igru-sable-502266/,https://en.wikipedia.org/wiki/Sable,,,,,,,,,,,,,,,
3-10 July 2025,Backpack Hero,2025,https://www.igromania.ru/news/152379/v-epic-games-store-stali-besplatno-otdavat-priklyuchenie-figment-i-rogalik-backpack-hero/,https://en.wikipedia.org/wiki/Backpack_Hero,Jaspel,,"Windows, Linux, Mac, SwitchWW: November 14, 2023PS4, PS5, Xbox One, Xbox Series X/SWW: June 11, 2024",Roguelite,Unity,,,,,,,,Single-player,"Backpack Hero is a roguelike video game developed by Jaspel and published by Jaspel, IndieArk, and Different Tales. It was released in November 2023 for Windows, macOS and Linux (via Steam, GOG and Epic Games Store) and Nintendo Switch. Ports for PlayStation 4, PlayStation 5, Xbox One, and Xbox Series X/S, were released on June 11, 2024. Described as an ""inventory management roguelike"", the gameplay revolves around how well the player organizes their bag, which is based on a grid system similar to the briefcase in Resident Evil 4. Backpack Hero launched to generally positive reception.","The game was Initially funded via Kickstarter and made available for early access on August 15, 2022."
10-17 July 2025,Figment 2: Creed Valley,2025,https://www.igromania.ru/news/152665/v-egs-stali-besplatno-otdavat-priklyuchenie-figment-2-i-arkadnyij-shuter-sky-racket/,,,,,,,,,,,,,,,,
17-24 July 2025,Civilization VI: Platinum Edition,2025,https://www.ign.com/articles/civilization-6-platinum-edition-gives-players-free-game-and-dlc-on-the-epic-games-store,,,,,,,,,,,,,,,,
24-31 July 2025,Legion TD 2,2025,https://dtf.ru/games/3921121-razdacha-legion-td-2-v-egs,,,,,,,,,,,,,,,,
31 July - 7 August 2025,Keylocker: Turn Based Cyberpunk Action,2025,https://kanobu.ru/news/v-egs-nachalas-razdacha-jrpg-keylocker-i-priklyucheniya-pilgrims-503610/,,,,,,,,,,,,,,,,
7-14 August 2025,112 Operator,2025,https://kanobu.ru/news/egs-zapustil-razdachu-simulyatora-112-operator-i-ekshena-road-redemption-503901/,https://en.wikipedia.org/wiki/112_Operator,Jutsu Games,,"Windows, Mac WW: 23 April 2020 iOS WW: 8 October 2020 Android  21 October 2020  Switch WW: 23 July 2021 PS4, Xbox US: 30 September 2024",,Unity),,,,,,,,Single-player,"112 Operator is a 2020 video game developed by Jutsu Games and published by Games Operators, with a Nintendo Switch port released by SONKA in 2021 and a PlayStation 4 port by Ultimate Games in 2024. The game is a strategy simulation title in which players manage emergency services and send first responders to calls, making decisions on which services to dispatch. The game received several downloadable content updates, expanding the number of emergencies, services and scenarios. Upon release, the game received average reviews.",
14-21 August 2025,Hidden Folks,2025,https://dtf.ru/games/3965218-razdacha-hidden-folks-v-egs,https://en.wikipedia.org/wiki/Hidden_Folks,Adriaan de Jongh,,"iOS, Linux, macOS, tvOS, Windows15 February 2017Android14 December 2017Nintendo Switch31 October 2018",Hidden object game,Unity,,Sylvain Tegroeg,Martin Kvale,,,Bram van Dijk,,Single-player,"Hidden Folks is a hidden object game developed by Adriaan de Jongh and Sylvain Tegroeg. In the game, players are presented with a series of animated, interactive scenes and must find hidden characters, objects, and animals. The game was released for iOS, Android, Linux, macOS, and Windows in February 2017.",
21-28 August 2025,Kamaeru: A Frog Refuge,2025,https://www.igromania.ru/news/154358/v-epic-games-store-nachali-besplatno-otdavat-miluyu-kamaeru-i-razdadut-machinarium/,,,,,,,,,,,,,,,,
28 August - 4 September 2025,Machinarium,2025,https://kanobu.ru/news/v-egs-nachalas-razdacha-besplatnyih-machinarium-i-make-way-504902/,https://en.wikipedia.org/wiki/Machinarium,Amanita Design,,"October 16, 2009, Windows, OS X, Linux16 October 2009Definite Edition23 June 2017 Collector's EditionUK: 5 March 2010PlayStation 3 (PSN)EU: 6 September 2012NA: 9 October 2012AS: 18 October 2012, PlayStation VitaNA: 26 March 2013EU: 1 May 2013AS: 7 May 2013iPad 28 September 2011, BlackBerry PlayBook21 November 2011Android10 May 2012PlayStation 4JP: 1 September 2019NA: 21 September 2016PAL: 18 October 2016Nintendo Switch1 November 2018Xbox One16 April 2020",,"Adobe Flash, DirectX",,,Tomáš Dvořák,,Jakub Dvorský,,,Single-player,"Machinarium is a puzzle point-and-click adventure game developed by Amanita Design. It was released on 16 October 2009 for Microsoft Windows, OS X, Linux, on 8 September 2011 for iPad 2 on the App Store, on 21 November 2011 for BlackBerry PlayBook, on 10 May 2012 for Android, on 6 September 2012 on PlayStation 3's PlayStation Network in Europe, on 9 October 2012 in North America and on 18 October 2012 in Asia. It was also released for PlayStation Vita on 26 March 2013 in North America, on 1 May 2013 in Europe and on 7 May 2013 in Asia. Demos for Windows, Mac and Linux were made available on 30 September 2009. A future release for the Wii's WiiWare service was cancelled as of November 2011 due to WiiWare's 40MB limit.","Microsoft Windows, OS X, Linux and Android versions of this game were released along with Humble Indie Bundle for Android 4 on 8 November 2012, to customers who paid over the average price. The Windows Phone version was released on 22 March 2014.
In 2017, the developer released a Definitive Version of the game that is based on a DirectX engine instead of Adobe Flash and can be played in full-screen mode. The Xbox One version of the game was released on 16 April 2020."
